TransNo,Tr_Type,Payment_Receipt,EntryDate,Vs_Dt,SrNo,AccCode,Amount,DRCR,PartyCode,RecoDt,ShareEntered,EntryNo
JV2201-000006       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,14,1724,226100.00,CR,000239,NULL,NULL,NULL
JV2201-000006       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,15,1741,163629.00,CR,000256,NULL,NULL,NULL
JV2201-000006       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,16,1726,77400.00,CR,000241,NULL,NULL,NULL
JV2201-000006       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,17,1743,35877.00,CR,000258,NULL,NULL,NULL
JV2201-000006       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,18,1725,2800.00,CR,000240,NULL,NULL,NULL
JV2201-000006       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,19,1742,1813.00,CR,000257,NULL,NULL,NULL
JV2201-000006       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,20,1728,23000.00,CR,000243,NULL,NULL,NULL
JV2201-000006       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,21,1745,230.00,CR,000260,NULL,NULL,NULL
JV2201-000006       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,22,1521,59100.00,CR,000052,NULL,NULL,NULL
JV2201-000006       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,23,1838,22650.00,CR,000265,NULL,NULL,NULL
JV2201-000006       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,24,1520,55500.00,CR,000051,NULL,NULL,NULL
JV2201-000006       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,25,1642,44901.00,CR,000157,NULL,NULL,NULL
JV2201-000006       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,26,1718,57230.00,CR,000233,NULL,NULL,NULL
JV2201-000006       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,27,1601,68000.00,CR,000116,NULL,NULL,NULL
JV2201-000006       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,28,1522,18600.00,CR,000053,NULL,NULL,NULL
JV2201-000006       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,29,1719,3000.00,CR,000234,NULL,NULL,NULL
JV2201-000006       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,30,1702,12600.00,CR,000217,NULL,NULL,NULL
JV2201-000006       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,31,1594,6200.00,CR,000109,NULL,NULL,NULL
JV2201-000006       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,32,1737,63.00,CR,000252,NULL,NULL,NULL
JV2201-000006       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,33,1840,2336489.00,CR,000267,NULL,NULL,NULL
CE2201-000150       ,8,NULL,2021-05-20 00:00:00,2021-05-20 00:00:00,2,1841,20240.00,DR,000268,NULL,NULL,NULL
CE2201-000150       ,8,NULL,2021-05-20 00:00:00,2021-05-20 00:00:00,1,1839,20240.00,CR,000266,NULL,NULL,NULL
BB2201-000065       ,5,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,0,1841,15500.00,DR,000268,NULL,NULL,BB2201-000065       
BB2201-000065       ,5,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1512,15500.00,CR,000043,NULL,NULL,BB2201-000065       
BB2201-003034       ,6,NULL,2021-05-20 00:00:00,2021-04-19 00:00:00,0,1488,360099.00,CR,000019,NULL,NULL,BB2201-003034       
BB2201-003034       ,6,NULL,2021-05-20 00:00:00,2021-04-19 00:00:00,1,1584,3300.00,DR,000099,NULL,NULL,BB2201-003034       
CE2201-000005       ,8,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1488,30000.00,DR,000019,NULL,NULL,NULL
CE2201-000005       ,8,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,2,1839,30000.00,CR,000266,NULL,NULL,NULL
BB2201-000071       ,5,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,0,1488,7148.00,DR,000019,NULL,NULL,BB2201-000071       
BB2201-000071       ,5,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1920,7148.00,CR,000345,NULL,NULL,BB2201-000071       
BB2201-000079       ,6,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,0,1490,471890.00,CR,000021,NULL,NULL,BB2201-000079       
BB2201-000079       ,6,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,1,1840,471890.00,DR,000267,NULL,NULL,BB2201-000079       
BB2201-000080       ,6,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,0,1490,591775.00,CR,000021,NULL,NULL,BB2201-000080       
BB2201-000080       ,6,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,1,1840,591775.00,DR,000267,NULL,NULL,BB2201-000080       
BB2201-000081       ,6,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,0,1490,522675.00,CR,000021,NULL,NULL,BB2201-000081       
BB2201-000081       ,6,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,1,1840,522675.00,DR,000267,NULL,NULL,BB2201-000081       
BB2201-000082       ,6,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,0,1490,346263.00,CR,000021,NULL,NULL,BB2201-000082       
BB2201-000082       ,6,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,1,1840,346263.00,DR,000267,NULL,NULL,BB2201-000082       
JV2201-000025       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,1,1512,500000.00,DR,000043,NULL,NULL,NULL
JV2201-000025       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,2,1650,675.00,CR,000165,NULL,NULL,NULL
JV2201-000025       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,3,1601,1116.00,CR,000116,NULL,NULL,NULL
JV2201-000025       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,4,1636,4375.00,CR,000151,NULL,NULL,NULL
JV2201-000025       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,5,1840,493834.00,CR,000267,NULL,NULL,NULL
BB2201-000083       ,6,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,0,1490,493834.00,CR,000021,NULL,NULL,BB2201-000083       
