TransNo,Tr_Type,Payment_Receipt,EntryDate,Vs_Dt,SrNo,AccCode,Amount,DRCR,PartyCode,RecoDt,ShareEntered,EntryNo
CB2201-000037       ,3,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,3,1737,10.00,CR,000252,NULL,NULL,NULL
BB2201-000100       ,5,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,0,1841,237000.00,DR,000268,NULL,NULL,BB2201-000100       
BB2201-000100       ,5,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1512,207000.00,CR,000043,NULL,NULL,BB2201-000100       
BB2201-000100       ,5,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,2,1517,30000.00,CR,000048,NULL,NULL,BB2201-000100       
BB2201-000078       ,6,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,0,1490,444875.00,CR,000021,NULL,NULL,BB2201-000078       
BB2201-000078       ,6,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,1,1840,444875.00,DR,000267,NULL,NULL,BB2201-000078       
JV2201-000034       ,7,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1601,14670.00,DR,000116,NULL,NULL,NULL
JV2201-000034       ,7,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,2,1606,14670.00,CR,000121,NULL,NULL,NULL
JV2201-000035       ,7,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1601,14670.00,DR,000116,NULL,NULL,NULL
JV2201-000035       ,7,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,2,1606,14670.00,CR,000121,NULL,NULL,NULL
JV2201-000036       ,7,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1601,14670.00,DR,000116,NULL,NULL,NULL
JV2201-000036       ,7,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,2,1606,14670.00,CR,000121,NULL,NULL,NULL
JV2201-000037       ,7,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1606,44010.00,DR,000121,NULL,NULL,NULL
JV2201-000037       ,7,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,2,1512,29010.00,CR,000043,NULL,NULL,NULL
JV2201-000037       ,7,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,3,1636,15000.00,CR,000151,NULL,NULL,NULL
JV2201-000038       ,7,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1479,270000.00,DR,000010,NULL,NULL,NULL
JV2201-000038       ,7,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,2,1521,27000.00,CR,000052,NULL,NULL,NULL
JV2201-000038       ,7,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,3,1838,2043.00,CR,000265,NULL,NULL,NULL
JV2201-000038       ,7,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,4,1840,240957.00,CR,000267,NULL,NULL,NULL
JV2201-000039       ,7,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,1,1479,70000.00,DR,000010,NULL,NULL,NULL
JV2201-000039       ,7,NULL,2021-04-06 00:00:00,2021-04-06 00:00:00,2,1838,505.00,CR,000265,NULL,NULL,NULL
