MNO,CHECKNO,SHARE,MSD,DBF,MTLN,MTLN_ROI,TOPLN,TOPLN_ROI,EDULN,EDULN_ROI,EMG2LN,EMG2LN_ROI,CONLN,CONLN_ROI,EMG1LN,EMG1LN_ROI,STLN,STLN_ROI,FLDLN,FLDLN_ROI,MSDLN,MSDLN_ROI,FDLN,FDLN_ROI,SURE1,SURE2,MEDILN,MEDILN_ROI,srno
53317,109027,500,1000,15,0,NULL,0,NULL,0,NULL,1800,6.00,0,NULL,1800,6.00,0,NULL,0,NULL,0,NULL,0,NULL,0,0,NULL,NULL,380
56892,326271,100,1000,15,3700,11.00,NULL,NULL,NULL,NULL,1800,6.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,381
64246,292494,100,1000,15,NULL,NULL,4200,10.75,NULL,NULL,1800,6.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,382
57762,10074,100,1000,15,NULL,NULL,4200,11.25,NULL,NULL,NULL,NULL,NULL,NULL,1800,6.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,383
64248,115144,100,1000,15,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,0,NULL,NULL,384
58179,109457,100,1000,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,385
64251,292328,100,1000,15,3600,10.50,0,NULL,0,NULL,1000,6.00,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,0,NULL,NULL,386
64252,10012,100,1000,15,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,0,NULL,NULL,387
64253,7723,100,1000,15,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,1000,6.00,0,NULL,0,NULL,0,NULL,0,NULL,0,0,NULL,NULL,388
64254,292663,100,1000,15,0,NULL,0,NULL,0,NULL,1800,6.00,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,NULL,0,0,NULL,NULL,389
64256,112041,100,1000,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,390
64257,14842,100,1000,15,NULL,NULL,NULL,NULL,NULL,NULL,1800,6.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,391
64262,15663,100,1000,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,392
64263,327624,0,1000,15,3400,10.50,3600,10.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,393
64264,326520,100,1000,15,2500,10.50,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,394
64265,115825,0,1000,15,7800,10.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,395
64266,115874,100,1000,15,1700,10.50,3500,10.25,NULL,NULL,1800,6.00,NULL,NULL,1000,6.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,396
64267,292618,100,1000,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,397
64268,217375,0,1000,15,3400,11.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1800,6.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,398
